,Wk,Day,Date,Home,Away,Referee,h_ftgoals,a_ftgoals
0,1,Sun,1991-09-01,Napoli,Atalanta,Piero Ceccarini,1.0,0.0
1,1,Sun,1991-09-01,Juventus,Fiorentina,Angelo Amendolia,1.0,0.0
2,1,Sun,1991-09-01,Lazio,Parma,Carlo Sguizzato,1.0,1.0
3,1,Sun,1991-09-01,Cagliari,Sampdoria,Gianni Beschin,3.0,2.0
4,1,Sun,1991-09-01,Bari,Torino,Loris Stafoggia,1.0,1.0
5,1,Sun,1991-09-01,Genoa,Cremonese,Maurizio Mughetti,2.0,0.0
6,1,Sun,1991-09-01,Hellas Verona,Roma,Pietro D'Elia,0.0,1.0
7,1,Sun,1991-09-01,Ascoli,Milan,Luciano Luci,0.0,1.0
8,1,Sun,1991-09-01,Internazionale,Foggia,Walter Cinciripini,1.0,1.0
9,2,Sun,1991-09-08,Cremonese,Napoli,Graziano Cesari,0.0,0.0
10,2,Sun,1991-09-08,Sampdoria,Hellas Verona,Alfredo Trentalange,2.0,0.0
11,2,Sun,1991-09-08,Parma,Bari,Marcello Nicchi,1.0,0.0
12,2,Sun,1991-09-08,Milan,Cagliari,Werter Cornieti,1.0,0.0
13,2,Sun,1991-09-08,Torino,Lazio,Fabio Baldas,0.0,1.0
14,2,Sun,1991-09-08,Atalanta,Ascoli,Mauro Felicani,1.0,1.0
15,2,Sun,1991-09-08,Foggia,Juventus,Tullio Lanese,0.0,1.0
16,2,Sun,1991-09-08,Fiorentina,Genoa,Paolo Fabricatore,3.0,1.0
17,2,Sun,1991-09-08,Roma,Internazionale,Pierluigi Pairetto,0.0,1.0
18,3,Sun,1991-09-15,Lazio,Atalanta,Maurizio Mughetti,1.0,1.0
19,3,Sun,1991-09-15,Fiorentina,Foggia,Gianni Beschin,1.0,2.0
20,3,Sun,1991-09-15,Juventus,Milan,Pietro D'Elia,1.0,1.0
21,3,Sun,1991-09-15,Genoa,Ascoli,Livio Bazzoli,1.0,0.0
22,3,Sun,1991-09-15,Bari,Sampdoria,Carlo Sguizzato,1.0,1.0
23,3,Sun,1991-09-15,Cremonese,Torino,Piero Ceccarini,0.0,2.0
24,3,Sun,1991-09-15,Internazionale,Hellas Verona,Arcangelo Pezzella,2.0,0.0
25,3,Sun,1991-09-15,Cagliari,Roma,Luciano Luci,0.0,1.0
26,3,Sun,1991-09-15,Napoli,Parma,Walter Cinciripini,2.0,2.0
27,4,Sun,1991-09-22,Torino,Napoli,Rosario Lo Bello,0.0,0.0
28,4,Sun,1991-09-22,Ascoli,Lazio,Marcello Nicchi,1.0,4.0
29,4,Sun,1991-09-22,Roma,Genoa,Werter Cornieti,0.0,0.0
30,4,Sun,1991-09-22,Parma,Cremonese,Fabio Baldas,1.0,1.0
31,4,Sun,1991-09-22,Hellas Verona,Bari,Piero Ceccarini,2.0,1.0
32,4,Sun,1991-09-22,Milan,Fiorentina,Pierluigi Pairetto,1.0,1.0
33,4,Sun,1991-09-22,Sampdoria,Internazionale,Angelo Amendolia,4.0,0.0
34,4,Sun,1991-09-22,Atalanta,Juventus,Graziano Cesari,0.0,0.0
35,4,Sun,1991-09-22,Foggia,Cagliari,Paolo Fabricatore,3.0,1.0
36,5,Sun,1991-09-29,Juventus,Bari,Maurizio Mughetti,2.0,0.0
37,5,Sun,1991-09-29,Foggia,Parma,Pietro D'Elia,1.0,1.0
38,5,Sun,1991-09-29,Lazio,Internazionale,Tullio Lanese,0.0,1.0
39,5,Sun,1991-09-29,Cagliari,Torino,Mauro Felicani,0.0,1.0
40,5,Sun,1991-09-29,Cremonese,Atalanta,Loris Stafoggia,1.0,2.0
41,5,Sun,1991-09-29,Sampdoria,Ascoli,Robert Boggi,4.0,0.0
42,5,Sun,1991-09-29,Napoli,Hellas Verona,Werter Cornieti,3.0,1.0
43,5,Sun,1991-09-29,Fiorentina,Roma,Fabio Baldas,0.0,1.0
44,6,Sun,1991-10-06,Hellas Verona,Cagliari,Rosario Lo Bello,2.0,0.0
45,6,Sun,1991-10-06,Genoa,Juventus,Carlo Sguizzato,2.0,1.0
46,6,Sun,1991-10-06,Bari,Cremonese,Virginio Quartuccio,0.0,0.0
47,6,Sun,1991-10-06,Ascoli,Napoli,Alfredo Trentalange,1.0,4.0
48,6,Sun,1991-10-06,Torino,Foggia,Luciano Luci,3.0,1.0
49,6,Sun,1991-10-06,Atalanta,Milan,Marcello Nicchi,0.0,2.0
50,6,Sun,1991-10-06,Parma,Sampdoria,Tullio Lanese,2.0,1.0
51,6,Sun,1991-10-06,Roma,Lazio,Gianni Beschin,1.0,1.0
52,6,Sun,1991-10-06,Internazionale,Fiorentina,Graziano Cesari,1.0,1.0
53,7,Sun,1991-10-20,Torino,Roma,Arcangelo Pezzella,1.0,1.0
54,7,Sun,1991-10-20,Cremonese,Hellas Verona,Livio Bazzoli,3.0,0.0
55,7,Sun,1991-10-20,Cagliari,Internazionale,Robert Boggi,1.0,1.0
56,7,Sun,1991-10-20,Lazio,Genoa,Pierluigi Pairetto,1.0,1.0
57,7,Sun,1991-10-20,Foggia,Ascoli,Roberto Bettin,1.0,0.0
58,7,Sun,1991-10-20,Sampdoria,Atalanta,Vincenzo Fucci,0.0,2.0
59,7,Sun,1991-10-20,Milan,Parma,Loris Stafoggia,2.0,0.0
60,7,Sun,1991-10-20,Fiorentina,Bari,Rosario Lo Bello,2.0,0.0
61,7,Sun,1991-10-20,Napoli,Juventus,Angelo Amendolia,0.0,1.0
62,8,Sun,1991-10-27,Genoa,Sampdoria,Pietro D'Elia,0.0,0.0
63,8,Sun,1991-10-27,Ascoli,Fiorentina,Paolo Fabricatore,0.0,0.0
64,8,Sun,1991-10-27,Parma,Torino,Livio Bazzoli,0.0,0.0
65,8,Sun,1991-10-27,Juventus,Cremonese,Giovanni Merlino,2.0,0.0
66,8,Sun,1991-10-27,Bari,Milan,Fabio Baldas,0.0,1.0
67,8,Sun,1991-10-27,Hellas Verona,Lazio,Walter Cinciripini,0.0,2.0
68,8,Sun,1991-10-27,Atalanta,Cagliari,Alfredo Trentalange,0.0,1.0
69,8,Sun,1991-10-27,Roma,Foggia,Mauro Felicani,1.0,1.0
70,8,Sun,1991-10-27,Internazionale,Napoli,Piero Ceccarini,0.0,0.0
71,9,Sun,1991-11-03,Torino,Internazionale,Gianni Beschin,0.0,0.0
72,9,Sun,1991-11-03,Genoa,Atalanta,Mauro Felicani,0.0,2.0
73,9,Sun,1991-11-03,Fiorentina,Cagliari,Dario Boemo,1.0,0.0
74,9,Sun,1991-11-03,Milan,Roma,Graziano Cesari,4.0,1.0
75,9,Sun,1991-11-03,Foggia,Bari,Alfredo Trentalange,4.0,1.0
76,9,Sun,1991-11-03,Ascoli,Cremonese,Carlo Sguizzato,1.0,0.0
77,9,Sun,1991-11-03,Napoli,Sampdoria,Luciano Luci,2.0,1.0
78,9,Sun,1991-11-03,Lazio,Juventus,Arcangelo Pezzella,1.0,1.0
79,9,Sun,1991-11-03,Parma,Hellas Verona,Pierluigi Pairetto,1.0,1.0
80,10,Sun,1991-11-17,Cremonese,Foggia,Marcello Nicchi,0.0,2.0
81,10,Sun,1991-11-17,Juventus,Torino,Piero Ceccarini,1.0,0.0
82,10,Sun,1991-11-17,Cagliari,Parma,Massimo Chiesa,0.0,0.0
83,10,Sun,1991-11-17,Bari,Lazio,Pietro D'Elia,1.0,2.0
84,10,Sun,1991-11-17,Atalanta,Fiorentina,Werter Cornieti,1.0,0.0
85,10,Sun,1991-11-17,Sampdoria,Milan,Tullio Lanese,0.0,2.0
86,10,Sun,1991-11-17,Hellas Verona,Genoa,Fabio Baldas,2.0,1.0
87,10,Sun,1991-11-17,Internazionale,Ascoli,Virginio Quartuccio,2.0,1.0
88,10,Sun,1991-11-17,Roma,Napoli,Loris Stafoggia,1.0,1.0
89,5,Wed,1991-11-20,Milan,Genoa,Luciano Luci,1.0,1.0
90,11,Sun,1991-11-24,Genoa,Cagliari,Marcello Cardona,2.0,2.0
91,11,Sun,1991-11-24,Ascoli,Juventus,Rosario Lo Bello,0.0,2.0
92,11,Sun,1991-11-24,Parma,Internazionale,Alfredo Trentalange,1.0,1.0
93,11,Sun,1991-11-24,Roma,Sampdoria,Arcangelo Pezzella,2.0,0.0
94,11,Sun,1991-11-24,Fiorentina,Lazio,Carlo Sguizzato,1.0,1.0
95,11,Sun,1991-11-24,Torino,Hellas Verona,Graziano Cesari,0.0,0.0
96,11,Sun,1991-11-24,Foggia,Atalanta,Giovanni Merlino,2.0,3.0
97,11,Sun,1991-11-24,Milan,Cremonese,Robert Boggi,3.0,1.0
98,11,Sun,1991-11-24,Napoli,Bari,Mauro Felicani,1.0,0.0
99,12,Sun,1991-12-01,Juventus,Roma,Marcello Nicchi,2.0,1.0
100,12,Sun,1991-12-01,Cagliari,Ascoli,Gianni Beschin,2.0,0.0
101,12,Sun,1991-12-01,Sampdoria,Torino,Paolo Fabricatore,0.0,0.0
102,12,Sun,1991-12-01,Hellas Verona,Foggia,Loris Stafoggia,1.0,0.0
103,12,Sun,1991-12-01,Atalanta,Parma,Giuseppe Rosica,0.0,1.0
104,12,Sun,1991-12-01,Lazio,Napoli,Werter Cornieti,3.0,3.0
105,12,Sun,1991-12-01,Bari,Genoa,Angelo Amendolia,1.0,2.0
106,12,Sun,1991-12-01,Internazionale,Milan,Pierluigi Pairetto,1.0,1.0
107,12,Sun,1991-12-01,Cremonese,Fiorentina,Maurizio Mughetti,1.0,3.0
108,13,Sun,1991-12-08,Foggia,Sampdoria,Walter Cinciripini,0.0,0.0
109,13,Sun,1991-12-08,Fiorentina,Hellas Verona,Vincenzo Fucci,4.0,1.0
110,13,Sun,1991-12-08,Juventus,Internazionale,Fabio Baldas,2.0,1.0
111,13,Sun,1991-12-08,Cremonese,Lazio,Tullio Lanese,2.0,0.0
112,13,Sun,1991-12-08,Napoli,Cagliari,Livio Bazzoli,4.0,0.0
113,13,Sun,1991-12-08,Ascoli,Bari,Arcangelo Pezzella,2.0,2.0
114,13,Sun,1991-12-08,Milan,Torino,Pietro D'Elia,2.0,0.0
115,13,Sun,1991-12-08,Roma,Atalanta,Robert Boggi,1.0,1.0
116,13,Sun,1991-12-08,Genoa,Parma,Virginio Quartuccio,2.0,0.0
117,14,Sun,1991-12-15,Lazio,Milan,Piero Ceccarini,1.0,1.0
118,14,Sun,1991-12-15,Bari,Atalanta,Roberto Bettin,0.0,0.0
119,14,Sun,1991-12-15,Parma,Roma,Gianni Beschin,3.0,1.0
120,14,Sun,1991-12-15,Torino,Fiorentina,Rosario Lo Bello,2.0,0.0
121,14,Sun,1991-12-15,Hellas Verona,Ascoli,Pierluigi Collina,1.0,0.0
122,14,Sun,1991-12-15,Sampdoria,Juventus,Loris Stafoggia,1.0,0.0
123,14,Sun,1991-12-15,Napoli,Foggia,Alfredo Trentalange,3.0,3.0
124,14,Sun,1991-12-15,Cagliari,Cremonese,Pierluigi Pairetto,0.0,0.0
125,14,Sun,1991-12-15,Internazionale,Genoa,Marcello Nicchi,2.0,2.0
126,15,Sun,1992-01-05,Ascoli,Roma,Robert Boggi,1.0,1.0
127,15,Sun,1992-01-05,Juventus,Parma,Luciano Luci,1.0,0.0
128,15,Sun,1992-01-05,Milan,Napoli,Carlo Sguizzato,5.0,0.0
129,15,Sun,1992-01-05,Bari,Cagliari,Tullio Lanese,1.0,0.0
130,15,Sun,1992-01-05,Atalanta,Hellas Verona,Maurizio Mughetti,0.0,0.0
131,15,Sun,1992-01-05,Fiorentina,Sampdoria,Mauro Felicani,1.0,2.0
132,15,Sun,1992-01-05,Genoa,Torino,Walter Cinciripini,1.0,1.0
133,15,Sun,1992-01-05,Lazio,Foggia,Graziano Cesari,5.0,2.0
134,16,Sun,1992-01-12,Sampdoria,Lazio,Fabio Baldas,1.0,0.0
135,16,Sun,1992-01-12,Napoli,Fiorentina,Loris Stafoggia,1.0,0.0
136,16,Sun,1992-01-12,Foggia,Genoa,Vincenzo Fucci,1.0,0.0
137,16,Sun,1992-01-12,Roma,Cremonese,Giovanni Merlino,3.0,0.0
138,16,Sun,1992-01-12,Cagliari,Juventus,Piero Ceccarini,1.0,1.0
139,16,Sun,1992-01-12,Internazionale,Bari,Paolo Fabricatore,1.0,0.0
140,16,Sun,1992-01-12,Torino,Atalanta,Livio Bazzoli,1.0,1.0
141,16,Sun,1992-01-12,Hellas Verona,Milan,Alfredo Trentalange,0.0,1.0
142,16,Sun,1992-01-12,Parma,Ascoli,Paolo De Angelis,2.0,0.0
143,17,Sun,1992-01-19,Bari,Roma,Luciano Luci,2.0,1.0
144,17,Sun,1992-01-19,Juventus,Hellas Verona,Mauro Felicani,2.0,0.0
145,17,Sun,1992-01-19,Cremonese,Sampdoria,Arcangelo Pezzella,0.0,1.0
146,17,Sun,1992-01-19,Genoa,Napoli,Pierluigi Pairetto,3.0,4.0
147,17,Sun,1992-01-19,Atalanta,Internazionale,Carlo Sguizzato,1.0,0.0
148,17,Sun,1992-01-19,Ascoli,Torino,Daniele Scaramuzza,0.0,4.0
149,17,Sun,1992-01-19,Fiorentina,Parma,Tullio Lanese,1.0,1.0
150,17,Sun,1992-01-19,Milan,Foggia,Gianni Beschin,3.0,1.0
151,17,Sun,1992-01-19,Lazio,Cagliari,Angelo Amendolia,2.0,1.0
