,week,day,date,time,h,a,attendance,venue,referee,notes,game_id,h_ftgoals,a_ftgoals,season,season-key,match-key,home_xg,away_xg,round,fthg,ftag,iwh,iwd,iwa,whh,whd,wha,bwh,bwd,bwa,psch,pscd,psca,maxch,maxcd,maxca,maxh,maxd,maxa,avgh,avgd,avga
0,1.0,Sat,2000-09-30,nan,Napoli,Juventus,,nan,Pierluigi Collina,nan,5d3c3919,1.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_194,,,,1.0,2.0,3.0,2.8,2.1,3.75,2.8,2.0,,,,,,,,,,,,,,,
1,1.0,Sat,2000-09-30,nan,Bari,Hellas-Verona,,nan,Roberto Rosetti,nan,0395bc16,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_21,,,,1.0,1.0,1.9,2.7,3.4,1.83,3.0,4.0,,,,,,,,,,,,,,,
2,1.0,Sun,2000-10-01,nan,Reggina,Inter,,nan,Graziano Cesari,nan,fbc33b80,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_244,,,,2.0,1.0,3.5,3.0,1.8,4.0,2.87,1.9,,,,,,,,,,,,,,,
3,1.0,Sun,2000-10-01,nan,Perugia,Lecce,,nan,Alberto Castellani,nan,3003cdd8,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_230,,,,1.0,1.0,1.7,3.1,3.8,1.9,2.87,4.0,,,,,,,,,,,,,,,
4,1.0,Sun,2000-10-01,nan,Udinese,Brescia,,nan,Max Saccani,nan,85ac2d09,4.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_275,,,,4.0,2.0,1.5,3.4,4.7,1.53,3.4,5.5,,,,,,,,,,,,,,,
5,1.0,Sun,2000-10-01,nan,Atalanta,Lazio,,nan,Alfredo Trentalange,nan,a7c7b8ff,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_7,,,,2.0,2.0,3.6,3.1,1.75,4.0,3.1,1.8,,,,,,,,,,,,,,,
6,1.0,Sun,2000-10-01,nan,Milan,Vicenza,,nan,Stefano Braschi,nan,2dff0a30,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_186,,,,2.0,0.0,1.25,4.3,8.0,1.25,4.33,11.0,,,,,,,,,,,,,,,
7,1.0,Sun,2000-10-01,nan,Roma,Bologna,,nan,Stefano Farina,nan,f4db916a,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_257,,,,2.0,0.0,1.45,3.5,5.0,1.36,3.75,8.0,,,,,,,,,,,,,,,
8,1.0,Sun,2000-10-01,nan,Parma,Fiorentina,,nan,Domenico Messina,nan,2ae8f3cf,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_208,,,,2.0,2.0,1.65,3.1,4.0,1.72,3.1,4.5,,,,,,,,,,,,,,,
9,2.0,Sat,2000-10-14,nan,Inter,Napoli,,nan,Fiorenzo Treossi,nan,4df53253,3.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_112,,,,3.0,1.0,1.4,3.6,5.5,1.33,4.0,8.0,,,,,,,,,,,,,,,
10,2.0,Sat,2000-10-14,nan,Lazio,Perugia,,nan,Pierluigi Collina,nan,4f1b8c7c,3.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_148,,,,3.0,0.0,1.2,4.7,9.0,1.2,5.0,11.0,,,,,,,,,,,,,,,
11,2.0,Sun,2000-10-15,nan,Lecce,Roma,,nan,Cosimo Bolognino,nan,8cefa473,0.0,4.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_167,,,,0.0,4.0,3.0,2.9,2.0,3.3,2.87,2.1,,,,,,,,,,,,,,,
12,2.0,Sun,2000-10-15,nan,Brescia,Parma,,nan,Danilo Nucini,nan,0d1dae9e,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_62,,,,0.0,0.0,3.0,2.9,2.0,3.25,2.75,2.2,,,,,,,,,,,,,,,
13,2.0,Sun,2000-10-15,nan,Vicenza,Atalanta,,nan,Stefano Farina,nan,83edf2bd,1.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_289,,,,1.0,2.0,1.9,2.8,3.3,2.1,2.8,3.4,,,,,,,,,,,,,,,
14,2.0,Sun,2000-10-15,nan,Juventus,Bari,,nan,Graziano Cesari,nan,06e7a53f,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_120,,,,2.0,0.0,1.3,4.0,7.0,1.25,4.5,10.0,,,,,,,,,,,,,,,
15,2.0,Sun,2000-10-15,nan,Hellas-Verona,Udinese,,nan,Gennaro Borriello,nan,2845af36,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_100,,,,1.0,1.0,2.1,2.9,2.9,2.4,2.8,2.87,,,,,,,,,,,,,,,
